COMPLAINID	COMPLAINDATE	COMPLETIONDATE	LASTNAME	FIRSTNAME	GENDER	BROKERFULLNAME	COMMISSIONSCHEME	DESCRIPTION_CATEGORY	REGION	DESCRIPTION_STATUS	STATE	PRODUCT	DESCRIPTION_PRIORITIES	DESCRIPTION_SOURCE	DESCRIPTION_TYPE
54	12-01-2012	03-02-2012	Martha	Harper	FEMALE	Ronald Dean	Comm4	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	New York	CAP-028	Urgent	Bank Branch	Written
55	12-01-2012	30-01-2012	Eugene	Frazier	MALE	Bruce Nichols	No Commission	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	New York	BNM-040	Urgent	Company HQ	Written
56	12-01-2012	30-01-2012	Mary	Garza	FEMALE	Ronald Welch	Comm7	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	Florida	BNM-038	Urgent	Company HQ	Written
57	13-01-2012	22-02-2012	Fred	Robinson	MALE	Nicholas Clark	Comm5	IGNORANCE OF EXISTENCE	South	CLOSED	Maryland	HHC-078	Urgent	Company HQ	Written
58	13-01-2012	30-01-2012	Margaret	Mcdonald	FEMALE	Raymond Collins	Comm2	POOR SERVICE	Northeast	CLOSED	Pennsylvania	MOT-007	Urgent	Company HQ	Written
61	13-01-2012	25-01-2012	Kevin	Morales	MALE	Keith Kim	No Commission	POWER FOR PRESENTATION OR WRONG	South	CLOSED	Virginia	MOT-009	Non Urgent	Company HQ	Written
62	13-01-2012	18-01-2012	Brian	Castillo	MALE	Gerald Castillo	Comm6	PAYMENT POLICY	Midwest	CLOSED	Illinois	HOC-049	Non Urgent	Bank Branch	Written
64	16-01-2012	30-01-2012	Nicole	Turner	FEMALE	Charles Jordan	No Commission	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	Pennsylvania	PNM-001	Urgent	Bank HQ	Phone
65	16-01-2012	16-01-2012	Roy	Stephens	MALE	Jonathan Adams	Comm8	DO NOT USE A REQUEST	West	CLOSED	California	CAS-077	Non Urgent	Call Center	Phone
66	16-01-2012	13-02-2012	Anne	Carr	FEMALE	Bruce Sanders	Comm6	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	Virginia	CAS-072	Urgent	Call Center	Email
67	16-01-2012	30-01-2012	Maria	Jenkins	FEMALE	Russell Green	Comm2	POOR SERVICE	Northeast	CLOSED	Massachusetts	CAS-072	Non Urgent	Company HQ	Written
68	17-01-2012	01-02-2012	Dennis	Fuller	MALE	Kevin Gray	No Commission	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	Northeast	CLOSED	Pennsylvania	CAS-020	Urgent	Company HQ	Court Order
69	19-01-2012	19-01-2012	Patricia	Walker	FEMALE	Andrew Rodriguez	Comm2	POOR SERVICE	West	CLOSED	California	CAS-016	Non Urgent	Company HQ	Written
70	19-01-2012	31-01-2012	Amy	Dunn	FEMALE	Arthur Rogers	Comm4	POOR SERVICE	West	CLOSED	California	LBL-045	Urgent	Bank Branch	Written
71	19-01-2012	25-01-2012	Carlos	Medina	MALE	Jeremy Wood	Comm7	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	Florida	CAS-021	Non Urgent	Company HQ	Written
72	20-01-2012	09-02-2012	Nancy	Butler	FEMALE	Kevin Johnson	Comm2	DISCLAIMER OF A SERVICE 	South	CLOSED	Louisiana	BNM-038	Urgent	Company HQ	Written
73	20-01-2012	31-01-2012	Craig	Rogers	MALE	Sean Stone	Comm2	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	West	CLOSED	Oregon	CAP-068	Non Urgent	Bank Branch	Written
74	23-01-2012	26-01-2012	Martha	Mcdonald	FEMALE	Walter Stewart	Comm4	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	South Carolina	OOT-061	Urgent	Company HQ	Written
75	23-01-2012	30-01-2012	Kathryn	Thompson	FEMALE	Earl Stephens	Comm7	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	New York	BNM-031	Urgent	Bank Branch	In person
76	23-01-2012	30-01-2012	Mary	Ellis	FEMALE	Carlos Wagner	Comm9	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	Florida	CAS-012	Urgent	Bank HQ	Phone
77	23-01-2012	23-01-2012	Brenda	Daniels	FEMALE	Gerald Davis	Comm5	POOR INFORMATION BEFORE OR WITH THE SALE	Midwest	CLOSED	Illinois	CAS-075	Urgent	Company HQ	Written
78	23-01-2012	25-01-2012	Aaron	Nelson	MALE	Michael Ferguson	No Commission	USE OF OTHER OR OTHER EXPENSES	Midwest	CLOSED	Indiana	HOC-048	Non Urgent	Bank Branch	In person
79	23-01-2012	27-01-2012	Caldwell Group			Carl Hayes	Comm2	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	Midwest	CLOSED	Minnesota	HOC-064	Non Urgent	Bank Branch	Written
80	24-01-2012	10-02-2012	Maria	Murray	FEMALE	Jeffrey Morales	Comm2	POOR INFORMATION BEFORE OR WITH THE SALE	Midwest	CLOSED	Illinois	CAP-026	Urgent	Bank Branch	Written
81	24-01-2012	03-02-2012	Anne	Wells	FEMALE	Gary Ryan	Comm8	IGNORANCE OF EXISTENCE	West	CLOSED	Colorado	BNM-035	Urgent	Company HQ	Written
82	25-01-2012	14-02-2012	Sandra	Harvey	FEMALE	Ralph Hayes	Comm2	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	New York	CAS-017	Urgent	Tele	Written
83	25-01-2012	02-02-2012	Antonio	Peters	MALE	Phillip Jacobs	Comm6	POOR INFORMATION BEFORE OR WITH THE SALE	West	CLOSED	California	PNM-001	Urgent	Bank Branch	Written
84	25-01-2012	01-02-2012	Victor	Young	MALE	Samuel Clark	Bonus Based	ACCOMMODATION RECONSTRUCTION	Midwest	CLOSED	Minnesota	PNM-002	Urgent	Bank HQ	In person
85	27-01-2012	01-02-2012	Terry	Bennett	MALE	Robert Snyder	Comm5	POOR INFORMATION BEFORE OR WITH THE SALE	Midwest	CLOSED	Illinois	HHC-058	Urgent	Bank HQ	Phone
86	27-01-2012	09-02-2012	Juan	Duncan	MALE	Matthew Scott	No Commission	USE OF OTHER OR OTHER EXPENSES	West	CLOSED	Oregon	BNM-036	Urgent	Company HQ	Written
87	27-01-2012	09-02-2012	David	Morrison	MALE	Joseph Fox	No Commission	POOR INFORMATION BEFORE OR WITH THE SALE	West	CLOSED	Colorado	MOT-008	Urgent	Company HQ	Written
88	27-01-2012	03-02-2012	Jesse	Mendoza	MALE	Frank Owens	Comm7	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	West	CLOSED	California	BNM-040	Non Urgent	Company HQ	Written
89	27-01-2012	14-03-2012	Kenneth	Cruz	MALE	Gregory Reyes	Comm7	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	Connecticut	CAS-020	Urgent	Company HQ	Court Order
97	27-01-2012	28-02-2012	Stephen	Ellis	MALE	Eugene Sullivan	Comm5	POOR SERVICE	Midwest	CLOSED	Illinois	CAS-013	Urgent	Company HQ	Email
99	30-01-2012	14-02-2012	Juan	Harvey	MALE	Jeffrey Williamson	Comm6	POOR SERVICE	West	CLOSED	California	BNM-037	Urgent	Company HQ	Written
100	31-01-2012	07-02-2012	Howard	Young	MALE	Joseph Medina	Comm4	POOR SERVICE	South	CLOSED	Florida	MOT-011	Urgent	Company HQ	Written
101	31-01-2012	10-02-2012	Tina	Evans	FEMALE	Todd Dixon	Comm5	PRODUCTION PRODUCT	West	CLOSED	California	CAP-027	Urgent	Company HQ	Email
102	31-01-2012	15-02-2012	Kathleen	Harris	FEMALE	Jose Morgan	Comm5	IGNORANCE OF EXISTENCE	West	CLOSED	California	CAP-027	Urgent	Company HQ	Written
103	31-01-2012	02-02-2012	Emily	Roberts	FEMALE	Joseph Weaver	Comm2	TERMS IN PRODUCT USE	South	CLOSED	Florida	CAS-072	Urgent	Company HQ	Written
104	31-01-2012	06-02-2012	Harold	Sims	MALE	Steve Hudson	Comm2	POOR INFORMATION BEFORE OR WITH THE SALE	Midwest	CLOSED	North Dakota	CAS-014	Urgent	Bank Branch	In person
105	01-02-2012	15-02-2012	Brandon	Mills	MALE	Ronald Welch	Comm7	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	Virginia	BNM-032	Urgent	Company HQ	Written
106	01-02-2012	16-02-2012	Janice	Wallace	FEMALE	Henry Smith	Comm8	POOR INFORMATION BEFORE OR WITH THE SALE	West	CLOSED	California	HOC-064	Urgent	Company HQ	Written
107	01-02-2012	08-02-2012	Norma	Rivera	FEMALE	Sean Miller	Bonus Based	SECURITY BUILDING REQUEST SECURITY RETURN	Midwest	CLOSED	Indiana	FPT-060	Non Urgent	Bank Branch	Email
108	02-02-2012	28-02-2012	Roger	Hernandez	MALE	Joshua Cooper	Comm4	POOR INFORMATION BEFORE OR WITH THE SALE	West	CLOSED	California	MOT-010	Urgent	Company HQ	Written
109	02-02-2012	15-02-2012	Howard	Martinez	MALE	Timothy Baker	Comm7	SECURITY CONTRACT AGENCY SAINT	South	CLOSED	Tennessee	CAP-026	Urgent	Company HQ	Written
110	02-02-2012	06-02-2012	Patrick	Bishop	MALE	Billy Brooks	No Commission	IGNORANCE OF EXISTENCE	Midwest	CLOSED	Minnesota	PNM-001	Urgent	Company HQ	Written
111	03-02-2012	09-02-2012	Lori	Freeman	FEMALE	Philip Murray	Comm4	POWER FOR PRESENTATION OR WRONG	West	CLOSED	California	BNM-040	Non Urgent	Company HQ	Written
112	03-02-2012	16-03-2012	Jessica	Coleman	FEMALE	Todd Lane	No Commission	MANAGEMENTNOT DECISION OF ANOTHER COMPANY CONTRACT	West	CLOSED	California	MOT-007	Non Urgent	Bank Branch	Written
113	03-02-2012	10-02-2012	Donald	Hawkins	MALE	Clarence Scott	Comm2	USE OF OTHER OR OTHER EXPENSES	South	CLOSED	Arkansas	MOT-007	Non Urgent	Company HQ	Written
114	03-02-2012	19-03-2012	Louise	Hansen	FEMALE	Raymond Gordon	Comm6	DO NOT USE A REQUEST	Midwest	CLOSED	Ohio	MOT-008	Non Urgent	Company HQ	Written
115	03-02-2012	17-02-2012	Keith	Harvey	MALE	Jesse Green	Comm8	DO NOT USE A REQUEST	West	CLOSED	Idaho	BNM-041	Urgent	Partner	Email
116	03-02-2012	29-02-2012	Willie	Mills	MALE	Michael Olson	No Commission	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	West	CLOSED	California	BNM-041	Urgent	Company HQ	Email
117	03-02-2012	29-02-2012	Emily	Watkins	FEMALE	David Fuller	Bonus Based	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	West	CLOSED	Washington	HOC-048	Urgent	Company HQ	Email
118	03-02-2012	15-02-2012	Stephanie	Medina	FEMALE	Robert Mason	Comm8	IGNORANCE OF EXISTENCE	South	CLOSED	Virginia	CAS-019	Non Urgent	Bank Branch	In person
119	06-02-2012	13-03-2012	Patricia	Johnson	FEMALE	Henry Burton	Comm2	POOR INFORMATION BEFORE OR WITH THE SALE	Midwest	CLOSED	Wisconsin	MMP-006	Urgent	Bank Branch	Written
120	06-02-2012	22-03-2012	Cheryl	Diaz	FEMALE	Albert Crawford	Comm8	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	West	CLOSED	California	CAS-013	Urgent	Partner	Written
121	06-02-2012	21-02-2012	Ronald	Knight	MALE	Philip Murray	Comm4	POWER FOR PRESENTATION OR WRONG	West	CLOSED	California	PNM-003	Non Urgent	Bank HQ	Phone
122	07-02-2012	28-02-2012	Carol	Coleman	FEMALE	Craig Carpenter	Comm2	DISCLAIMER OF DISMISSAL	Midwest	CLOSED	Illinois	CAS-018	Urgent	Company HQ	Written
123	07-02-2012	28-02-2012	Tina	Fernandez	FEMALE	Nicholas Jacobs	Comm4	DISCLAIMER OF DISMISSAL	Northeast	CLOSED	Pennsylvania	HOC-048	Urgent	Bank Branch	Written
136	07-02-2012	28-02-2012	Howard	Morris	MALE	Louis Bennett	No Commission	DISCLAIMER OF DISMISSAL	South	CLOSED	Oklahoma	CAS-019	Urgent	Company HQ	Written
137	07-02-2012	15-02-2012	Margaret	Simpson	FEMALE	Howard Wright	Comm7	DISCLAIMER OF DISMISSAL	West	CLOSED	California	LBL-074	Urgent	Company HQ	Written
138	07-02-2012	23-02-2012	Christina	Stone	FEMALE	Jack Price	Comm6	IGNORANCE OF EXISTENCE	West	CLOSED	California	CAP-024	Non Urgent	Bank Branch	Written
139	08-02-2012	13-02-2012	Dorothy	Fox	FEMALE	Eugene Griffin	Comm7	IGNORANCE OF EXISTENCE	Midwest	CLOSED	Ohio	CAS-021	Urgent	Company HQ	Written
140	08-02-2012	23-02-2012	Samuel	Henderson	MALE	George Olson	Comm3	POOR INFORMATION BEFORE OR WITH THE SALE	Midwest	CLOSED	Illinois	LBL-074	Urgent	Company HQ	Email
141	08-02-2012	22-02-2012	Joyce	Chapman	FEMALE	Sean Anderson	No Commission	POOR SERVICE	Midwest	CLOSED	Nebraska	MOT-009	Urgent	Company HQ	Written
142	08-02-2012	28-02-2012	Sara	Moore	FEMALE	Johnny Gonzalez	Bonus Based	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	Connecticut	CAS-016	Urgent	Company HQ	Written
143	10-02-2012	28-02-2012	Kevin	Holmes	MALE	Justin Gardner	Comm7	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	Massachusetts	HOC-047	Urgent	Company HQ	Written
144	10-02-2012	02-03-2012	Chris	Morris	MALE	Victor Myers	Comm9	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	North Carolina	MOT-008	Urgent	Company HQ	Written
145	10-02-2012	06-03-2012	Louise	Young	FEMALE	Carlos Stevens	No Commission	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	South Carolina	CAP-029	Urgent	Company HQ	Written
146	10-02-2012	16-02-2012	Patrick	Richards	MALE	Adam Morales	Comm9	POOR SERVICE	Midwest	CLOSED	Illinois	BNM-039	Urgent	Company HQ	Phone
147	13-02-2012	21-02-2012	Jason	Parker	MALE	Bobby Lane	Comm7	POOR INFORMATION BEFORE OR WITH THE SALE	West	CLOSED	Colorado	HOC-053	Urgent	Company HQ	Written
148	13-02-2012	15-05-2012	Betty	Shaw	FEMALE	Eugene Holmes	Bonus Based	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	West	CLOSED	California	MOT-011	Urgent	Bank Branch	Written
149	13-02-2012	29-02-2012	Roy	Harvey	MALE	Eric Richards	Comm8	POOR INFORMATION BEFORE OR WITH THE SALE	West	CLOSED	California	HHC-057	Urgent	Company HQ	Email
150	13-02-2012	08-03-2012	Roger	Mills	MALE	Ernest Turner	Comm6	POOR SERVICE	South	CLOSED	Texas	CAS-019	Urgent	Company HQ	Written
151	13-02-2012	15-03-2012	Joyce	Harris	FEMALE	Raymond Kim	Comm2	SECURITY BUILDING REQUEST SECURITY RETURN	South	CLOSED	Virginia	CAS-021	Non Urgent	Bank Branch	Written
152	14-02-2012	01-03-2012	Helen	Sullivan	FEMALE	Daniel Wagner	Comm3	INDEPENDENT DISMISSAL	South	CLOSED	Georgia	CAP-023	Urgent	Bank Branch	In person
153	14-02-2012	13-03-2012	VOLUME Corp			Steven Long	Bonus Based	POOR INFORMATION BEFORE OR WITH THE SALE	West	CLOSED	California	HHC-063	Urgent	Company HQ	Court Order
156	15-02-2012	19-03-2012	Shirley	Dean	FEMALE	Jeremy Wood	Comm7	IGNORANCE OF EXISTENCE	Midwest	CLOSED	Indiana	HOC-051	Urgent	Tele	Written
158	15-02-2012	15-02-2012	James	Day	MALE	Peter Mendoza	Comm2	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	South	CLOSED	Alabama	CAP-029	Non Urgent	Bank HQ	Phone
159	15-02-2012	19-04-2012	Gregory	Smith	MALE	David Hunter	Comm2	POOR SERVICE	West	CLOSED	California	MMP-006	Non Urgent	Partner	Written
160	16-02-2012	16-03-2012	Linda	Burton	FEMALE	Albert Harvey	Comm7	CONTRACT NOTICE USE OR FAITH	West	CLOSED	Colorado	BNM-031	Non Urgent	Bank Branch	In person
161	16-02-2012	28-03-2012	Evelyn	Gilbert	FEMALE	Brian Hansen	Comm2	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	Massachusetts	CAP-029	Urgent	Company HQ	Written
162	16-02-2012	23-03-2012	Tammy	Bennett	FEMALE	John Edwards	Bonus Based	DISCLAIMER OF DISMISSAL	Northeast	CLOSED	Pennsylvania	MMP-004	Non Urgent	Company HQ	Written
163	17-02-2012	02-04-2012	Frank	Mason	MALE	Eugene Sullivan	Comm5	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	New Jersey	CAS-072	Urgent	Bank Branch	Written
164	17-02-2012	21-03-2012	Raymond	Elliott	MALE	Ryan Dean	Comm5	POOR SERVICE	South	CLOSED	North Carolina	BNM-036	Non Urgent	Company HQ	Written
165	17-02-2012	08-03-2012	Timothy	Harper	MALE	Frank Porter	Bonus Based	POWER FOR PRESENTATION OR WRONG	West	CLOSED	Oregon	HOC-047	Urgent	Bank Branch	Written
166	17-02-2012	21-03-2012	Steven	Kelley	MALE	Jonathan Bradley	No Commission	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	West	CLOSED	California	CAP-028	Urgent	Bank HQ	Email
167	20-02-2012	19-03-2012	Sandra	Romero	FEMALE	Joe Sims	Comm3	POOR INFORMATION BEFORE OR WITH THE SALE	West	CLOSED	California	CAS-018	Urgent	Bank Branch	Written
168	20-02-2012	29-03-2012	Ralph	Richardson	MALE	Craig Ford	Comm8	POOR INFORMATION BEFORE OR WITH THE SALE	West	CLOSED	California	CAS-014	Urgent	Company HQ	Written
169	20-02-2012	07-03-2012	David	Campbell	MALE	George Davis	Bonus Based	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	Northeast	CLOSED	Connecticut	CAS-067	Non Urgent	Bank HQ	Phone
170	20-02-2012	02-04-2012	Mark	Wood	MALE	Kevin Gray	No Commission	DISCLAIMER OF DISMISSAL	South	CLOSED	Florida	HOC-050	Non Urgent	Bank Branch	Written
171	20-02-2012	02-03-2012	John	Ford	MALE	Phillip Stephens	Bonus Based	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	Maryland	BNM-036	Urgent	Company HQ	Written
172	20-02-2012	03-04-2012	Alice	Alexander	FEMALE	Victor Cook	Bonus Based	DISCLAIMER OF DISMISSAL	Northeast	CLOSED	New York	BNM-030	Urgent	Company HQ	Court Order
173	21-02-2012	13-03-2012	Doris	Martinez	FEMALE	Wayne Mcdonald	No Commission	POOR INFORMATION BEFORE OR WITH THE SALE	West	CLOSED	Idaho	HOC-052	Urgent	Company HQ	Written
174	21-02-2012	20-04-2012	Jeremy	Nichols	MALE	Bobby Ross	Comm2	DISCLAIMER OF DISMISSAL	Midwest	CLOSED	Michigan	MOT-007	Urgent	Company HQ	Written
175	21-02-2012	21-02-2012	Julie	Burton	FEMALE	Randy Howell	Comm4	USE OF OTHER OR OTHER EXPENSES	Northeast	CLOSED	New York	HOC-055	Non Urgent	Company HQ	Phone
176	21-02-2012	28-02-2012	Harry	Torres	MALE	Christopher Patterson	No Commission	IGNORANCE OF EXISTENCE	Northeast	CLOSED	New York	CAS-017	Non Urgent	Bank Branch	Written
177	22-02-2012	21-03-2012	Tammy	Moreno	FEMALE	Ronald Stanley	Comm3	POOR SERVICE	Midwest	CLOSED	Illinois	HHC-058	Urgent	Bank Branch	Phone
178	23-02-2012	07-03-2012	Sharon	Stevens	FEMALE	Jimmy Hughes	Comm3	POOR INFORMATION BEFORE OR WITH THE SALE	South	CLOSED	Texas	BNM-032	Urgent	Company HQ	Written
179	23-02-2012	13-03-2012	Jose	Gibson	MALE	Victor Mccoy	Bonus Based	IGNORANCE OF EXISTENCE	South	CLOSED	Florida	CAP-023	Urgent	Company HQ	Written
180	23-02-2012	23-03-2012	Annie	Allen	FEMALE	Bruce Price	Comm2	CONTRACT NOTICE USE OR FAITH	South	CLOSED	Texas	CAS-076	Non Urgent	Company HQ	Written
181	24-02-2012	26-03-2012	Jason	Hall	MALE	Terry Perry	Comm7	IGNORANCE OF EXISTENCE	Midwest	CLOSED	Illinois	CAS-019	Non Urgent	Company HQ	Written
